OTUID	Taxon	Confidence
7a586f8f1c56a09342678ff8aeea0fd3	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Arsenophonus	0.912084064453558
2489471b3729e885a2c1ddaa10774d8e	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	0.9833726700588046
ddfd49f939f92958b1ec816741055348	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Ralstonia; s__	0.9999721001695299
54ea84bfcc4c8be067e02e0dc15ef132	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Gordoniaceae; g__Gordonia; s__	0.9999175327772681
b701af8d98ca714dab16ab6724bb631a	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Salinibacterium; s__	0.9361118164745793
7ac6bd9dee5ec9fc4ccd70a40fd514fb	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paracoccus; s__aminovorans	0.7222075280814244
cff60bed359051dd65fe850fd0bd07e1	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardiaceae; g__Rhodococcus; s__	0.999959248921265
f01809bd56a5f37d5ff54010726261dc	k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__Ellin506; s__	0.9969373532222676
fccd274e718e26b32c71f188d97d9e59	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paracoccus; s__	0.9183414134741187
97662c31b68c8ddca3c23e895f15c63c	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Chlorophyta; f__Trebouxiophyceae; g__; s__	0.9999986822470972
1fe53fbcb7d96b008c54092ce5854af1	k__Bacteria; p__[Thermi]; c__Deinococci; o__Thermales; f__Thermaceae; g__Meiothermus; s__	0.9999994164122936
73d826dabdbddbea0bd4551bb3d87046	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paracoccus	0.9999104956859565
7822055ec52cd4971959edee75dbe881	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales	0.9999998816727899
